Name,Purpose,Cost Per Item (USD),Quantity,Total (USD),Link,Distributor
"Water pump ","to pump water and solution to irrigate the soil and plant",5.57,4,22.28,"https://www.ram-e-shop.com/shop/dc-pump-240l-water-pump12vdc-ultra-quiet-brushless-240l-h-7953","Ram Electronics"
"PCB Fabrication","to mount components ",5.74,1,5.74,"https://jlcpcb.com","JLCPCB"
"Pin Header 1x04","To connect pico with zero",0.12,2,0.24,"https://makerselectronics.com/product/pin-headers-male-2-54mm-5pin-straight-black-11mm/","Makers Electronics"
"Pin Header 1x02","To connect pico with zero",0.10,7,0.67,"https://makerselectronics.com/product/pin-headers-male-2-54mm-5pin-straight-black-11mm/","Makers Electronics"
"Ceramic Cap","circuit ",0.04,10,0.38,"https://makerselectronics.com/product/ceramic-capacitor-100nf-50v/","Makers Electronics"
"Electrolytic Cap","circuit",0.10,4,0.40,"https://makerselectronics.com/product/capacitor-10uf-25v-4x7mm/","Makers Electronics"
"Resistor","For the circuit",0.04,10,0.40,"https://makerselectronics.com/product/carbon-resistor-10k%cf%89-2w-through-hole/","Makers Electronics"
"12V 5A Power Adapter","to power the whole system",5.74,1,5.74,"https://makerselectronics.com/product/adapter-12v-3a-3/","Makers Electronics"
"Barrel Jack","to plug in the 12V power supply",0.29,1,0.29,"https://store.fut-electronics.com/products/dc-barrel-female-jack?_pos=2&_sid=9cbb68bec&_ss=r","Future Electronics Egypt"
"DIP-18 Socket","Holds the ULN2803A chip so you can replace it easily",3.16,1,3.16,"https://store.fut-electronics.com/search?type=product&q=DIP-18+7.62mm","Future Electronics Egypt"
"Relay","switches that allow the Pico (low power) to turn on the Water Pumps, Fan, and Heater (high power)",1.34,7,9.38,"https://www.amazon.eg/-/en/Generic-12V-Relay-SRD-12VDC-SL-C-Automatic/dp/B09GNYCBJ8","Amazon Egypt"
"Schottky Diode","parts of the buck converter circuit",0.15,1,0.15,"https://store.fut-electronics.com/products/copy-of-diode-1n5408-3a-1000v-high-current-rectifier?_pos=1&_sid=7c0e00b0d&_ss=r","Future Electronics Egypt"
"Inductor","parts of the buck converter circuit",0.02,1,0.02,"https://makerselectronics.com/product/inductor-330uh-0510-1w/?srsltid=AfmBOopEyPfXRbjQeAZuTj9z0SJHXyytV2tzQKyfccnhfVPX7rr7i2Ne","Makers Electronics Egypt"
"NPK Soil Sensor","To monitor the NPK in soil (nitrogen, phosphorus, potassium) ",61.26,1,61.26,"https://store.fut-electronics.com/products/soil-npk-nitrogen-phosphorus-potassium-nutrient-sensor?_pos=1&_sid=cc849b4cb&_ss=r","Future Electronics Egypt"
"Soil Moisture Sensor","To monitor the soil moisture ",1.91,1,1.91,"https://www.ram-e-shop.com/shop/sen-soil-c-capacitive-analog-soil-moisture-sensor-v2-0-sku-soil-c-8116?srsltid=AfmBOookvggy4W1wl8oSb-pGGNBmixARQOTydpFUzx5W_-lss_Y-4-94","RAM Electronics"
"Light Sensor","To monitor the light intensity",3.73,1,3.73,"https://store.fut-electronics.com/products/digital-light-intensity-module","Future Electronics Egypt"
"Temp Sensor (air)","To monitor the temp of air in the greenhouse system",0.86,1,0.86,"https://makerselectronics.com/product/ds18b20-temperature-sensor-to-92/","Makers Electronics Egypt"
"Temp Sensor (soil)","To monitor the temp of soil",1.63,1,1.63,"https://www.ram-e-shop.com/ar/shop/wire-ds18b20-ds18b20-waterproof-temperature-sensor-original-chip-7175","RAM Electronics"
"Darlington Driver","lets the Pico's tiny signal actually trigger the heavy coils inside the relays",0.46,1,0.46,"https://makerselectronics.com/product/uln2803apg-darlington-transistor-arrays-dip-18-brand-toshiba/","Makers Electronics"
"RS485 Transceiver","Translates the industrial signal from the NPK sensor into a language the Pico",0.55,1,0.55,"https://uge-one.com/product/max485-rs-485-transceiver-dip8/","UGE Electronics Egypt"
"Raspberry Pi Camera Module V2","The eyes for the Pi Zero for ai.",15.31,1,15.31,"https://www.ram-e-shop.com/ar/shop/rpi-v2-camera-raspberry-pi-camera-module-v2-official-8-mp-hd-imx219-official-6887","Ram Electronics"
"LDO Regulator","power regulates down the voltage to a 3.3V rail",0.06,1,0.06,"https://www.ram-e-shop.com/ar/shop/lt1117-3-3v-ams1117-3-3v-6628","Ram Electronics Egypt"
"Buck Converter IC","To step down the voltage.",0.77,1,0.77,"https://makerselectronics.com/product/lm2596t-5-0-buck-fixed-40v-5v-3a-to-220-5l-dc-dc-converters-dip-ic/","Makers Electronics Egypt"
"Raspberry Pi Zero 2W","It would be used in the AI disease detection using pi camera",38.28,1,38.28,"https://devboardsmarket.com/products/raspberry-pi-zero-2-w","DEV boards "
"Raspberry Pi Pico W","The main controller for the sensors and actuators",16.27,1,16.27,"https://www.ram-e-shop.com/ar/shop/rpi-pico-w-raspberry-pi-pico-w-wifi-8524","RAM electronics"
